algo,ac_variant,n_steps,baseline,seed,episode,episode_return,episode_steps,episode_time_sec,elapsed_time_sec,eval_mean_return,eval_std_return,loss,policy_loss,value_loss,entropy,mean_return,mean_advantage,advantage
reinforce,,,50.0,2,1,54.226682973028716,66,0.02244710922241211,0.022449970245361328,,,-63.35897445678711,-63.35897445678711,,,20.092098236083984,-29.907901763916016,
reinforce,,,50.0,2,2,16.682026102259357,48,0.008365869522094727,0.030917882919311523,,,-82.74337005615234,-82.74337005615234,,,3.5161800384521484,-46.483821868896484,
reinforce,,,50.0,2,3,10.36132060667457,22,0.003935098648071289,0.034967899322509766,,,-106.5280532836914,-106.5280532836914,,,2.2453527450561523,-47.7546501159668,
reinforce,,,50.0,2,4,8.441003302205896,17,0.0031349658966064453,0.03818392753601074,,,-111.65398406982422,-111.65398406982422,,,2.5356130599975586,-47.464385986328125,
reinforce,,,50.0,2,5,6.307363529433911,12,0.0021927356719970703,0.040452003479003906,,,-89.80010986328125,-89.80010986328125,,,2.272692918777466,-47.7273063659668,
reinforce,,,50.0,2,6,7.570356479349593,13,0.0023419857025146484,0.04289603233337402,,,-113.77056121826172,-113.77056121826172,,,2.6800146102905273,-47.319984436035156,
reinforce,,,50.0,2,7,5.4954725489523835,12,0.0021800994873046875,0.04515194892883301,,,-94.00499725341797,-94.00499725341797,,,1.3771506547927856,-48.62284851074219,
reinforce,,,50.0,2,8,3.0407903479031484,9,0.001669168472290039,0.0468900203704834,,,-89.24419403076172,-89.24419403076172,,,0.4629281461238861,-49.537071228027344,
reinforce,,,50.0,2,9,5.351803746471806,9,0.0016820430755615234,0.04875898361206055,,,-122.75929260253906,-122.75929260253906,,,2.0574870109558105,-47.94251251220703,
reinforce,,,50.0,2,10,4.613764620544174,9,0.00164794921875,0.05047893524169922,,,-126.94673919677734,-126.94673919677734,,,1.659203052520752,-48.340797424316406,
reinforce,,,50.0,2,11,3.4412507862424375,9,0.0016367435455322266,0.0521848201751709,,,-110.97586059570312,-110.97586059570312,,,0.7235792279243469,-49.27642059326172,
reinforce,,,50.0,2,12,4.993055591527845,10,0.0018661022186279297,0.054116010665893555,,,-111.01985168457031,-111.01985168457031,,,1.771816611289978,-48.228179931640625,
reinforce,,,50.0,2,13,4.548631536174197,10,0.001699209213256836,0.05589413642883301,,,-88.68387603759766,-88.68387603759766,,,1.5084041357040405,-48.49159622192383,
reinforce,,,50.0,2,14,4.493202377503414,10,0.0016829967498779297,0.057626962661743164,,,-87.39877319335938,-87.39877319335938,,,1.4013606309890747,-48.59864044189453,
reinforce,,,50.0,2,15,4.963996963087336,10,0.0016069412231445312,0.05930185317993164,,,-99.66484832763672,-99.66484832763672,,,1.9645265340805054,-48.03546905517578,
reinforce,,,50.0,2,16,4.229477144922031,9,0.001657247543334961,0.06100106239318848,,,-85.73686981201172,-85.73686981201172,,,1.4944117069244385,-48.50558853149414,
reinforce,,,50.0,2,17,4.0703619512908915,8,0.0014598369598388672,0.06252384185791016,,,-105.6837387084961,-105.6837387084961,,,1.5119755268096924,-48.4880256652832,
reinforce,,,50.0,2,18,4.224874386870745,10,0.0018260478973388672,0.06441497802734375,,,-113.6781997680664,-113.6781997680664,,,1.156556487083435,-48.84344482421875,
reinforce,,,50.0,2,19,4.618632794184609,10,0.00177001953125,0.06624102592468262,,,-103.1202621459961,-103.1202621459961,,,1.3099056482315063,-48.690093994140625,
reinforce,,,50.0,2,20,5.039728580790682,9,0.0015943050384521484,0.06788110733032227,4.021605408310962,0.08700135676863885,-119.22454071044922,-119.22454071044922,,,1.9373021125793457,-48.06269836425781,
reinforce,,,50.0,2,21,4.184354268846811,10,0.0017981529235839844,0.07577705383300781,,,-113.57183837890625,-113.57183837890625,,,1.1570603847503662,-48.84293746948242,
reinforce,,,50.0,2,22,2.9336265117736984,8,0.0014986991882324219,0.07733988761901855,,,-125.9415054321289,-125.9415054321289,,,0.6346201300621033,-49.365379333496094,
reinforce,,,50.0,2,23,4.512636235228166,8,0.0014140605926513672,0.07880401611328125,,,-90.25653076171875,-90.25653076171875,,,1.8906657695770264,-48.109336853027344,
reinforce,,,50.0,2,24,4.707480873845887,7,0.0012583732604980469,0.08011913299560547,,,-118.3761215209961,-118.3761215209961,,,2.1668331623077393,-47.833168029785156,
reinforce,,,50.0,2,25,4.5464537725311365,8,0.0015871524810791016,0.08190011978149414,,,-107.3877944946289,-107.3877944946289,,,1.8634017705917358,-48.1365966796875,
