algo,baseline,seed,episode,episode_return,episode_steps,episode_time_sec,elapsed_time_sec,eval_mean_return,eval_std_return,loss,policy_loss,value_loss,entropy,mean_return,mean_advantage,advantage
reinforce,0.0,1,1,48.77487904113931,45,0.04175901412963867,0.04176211357116699,,,43.52301025390625,43.52301025390625,,,22.113414764404297,22.113414764404297,
reinforce,0.0,1,2,73.2521363852344,47,0.00793600082397461,0.049832820892333984,,,70.15652465820312,70.15652465820312,,,36.28981018066406,36.28981018066406,
reinforce,0.0,1,3,28.62995043557932,38,0.007051706314086914,0.05700993537902832,,,25.133251190185547,25.133251190185547,,,12.523750305175781,12.523750305175781,
reinforce,0.0,1,4,31.22563505093172,26,0.004806041717529297,0.06196904182434082,,,37.85932922363281,37.85932922363281,,,16.742652893066406,16.742652893066406,
reinforce,0.0,1,5,23.20010563550929,25,0.00486302375793457,0.06698894500732422,,,26.932266235351562,26.932266235351562,,,11.325407981872559,11.325407981872559,
reinforce,0.0,1,6,25.908873176593353,24,0.0045740604400634766,0.07168698310852051,,,27.440523147583008,27.440523147583008,,,12.62456226348877,12.62456226348877,
reinforce,0.0,1,7,8.384400047244158,15,0.0028030872344970703,0.07465004920959473,,,6.603628635406494,6.603628635406494,,,2.6160500049591064,2.6160500049591064,
reinforce,0.0,1,8,32.40432344862508,26,0.004504203796386719,0.07925605773925781,,,34.94182586669922,34.94182586669922,,,17.089963912963867,17.089963912963867,
reinforce,0.0,1,9,40.12978808475976,30,0.0054819583892822266,0.08492588996887207,,,41.72270584106445,41.72270584106445,,,20.23627471923828,20.23627471923828,
reinforce,0.0,1,10,5.489776088557555,12,0.0025501251220703125,0.08756089210510254,,,6.478801727294922,6.478801727294922,,,1.8883929252624512,1.8883929252624512,
reinforce,0.0,1,11,35.81607185186124,29,0.005309104919433594,0.09297800064086914,,,36.1624870300293,36.1624870300293,,,17.97394371032715,17.97394371032715,
reinforce,0.0,1,12,5.124519518590273,11,0.002191305160522461,0.09536314010620117,,,2.5912928581237793,2.5912928581237793,,,1.5952576398849487,1.5952576398849487,
reinforce,0.0,1,13,8.707250582646031,13,0.0023360252380371094,0.09782910346984863,,,12.318541526794434,12.318541526794434,,,4.248717784881592,4.248717784881592,
reinforce,0.0,1,14,6.463837974932273,11,0.002405881881713867,0.10035204887390137,,,7.585990905761719,7.585990905761719,,,2.6925876140594482,2.6925876140594482,
reinforce,0.0,1,15,4.0525862710449445,9,0.001767873764038086,0.10222697257995605,,,3.086984157562256,3.086984157562256,,,1.3719220161437988,1.3719220161437988,
reinforce,0.0,1,16,5.203164936532374,10,0.0019030570983886719,0.10420393943786621,,,2.877101182937622,2.877101182937622,,,2.0338730812072754,2.0338730812072754,
reinforce,0.0,1,17,44.35872706512852,30,0.005410909652709961,0.1096949577331543,,,57.09720993041992,57.09720993041992,,,23.800365447998047,23.800365447998047,
reinforce,0.0,1,18,5.058622335654489,10,0.0018498897552490234,0.1116480827331543,,,5.071152687072754,5.071152687072754,,,1.9701957702636719,1.9701957702636719,
reinforce,0.0,1,19,6.339704014532128,11,0.002012968063354492,0.11374592781066895,,,6.56301736831665,6.56301736831665,,,2.4685416221618652,2.4685416221618652,
reinforce,0.0,1,20,6.322513208295524,11,0.002393960952758789,0.11622905731201172,5.017009908471744,0.09394795126182741,4.94273567199707,4.94273567199707,,,2.490499496459961,2.490499496459961,
reinforce,0.0,1,21,4.635190483378927,10,0.002360105514526367,0.12766098976135254,,,1.957167387008667,1.957167387008667,,,1.5902683734893799,1.5902683734893799,
reinforce,0.0,1,22,4.8043388975197745,10,0.002125978469848633,0.1299419403076172,,,3.8933234214782715,3.8933234214782715,,,1.8088304996490479,1.8088304996490479,
reinforce,0.0,1,23,5.237359066421675,11,0.0022411346435546875,0.1322941780090332,,,2.883262872695923,2.883262872695923,,,1.6252449750900269,1.6252449750900269,
reinforce,0.0,1,24,4.560831533025895,10,0.001989126205444336,0.13438010215759277,,,2.8548505306243896,2.8548505306243896,,,1.5931220054626465,1.5931220054626465,
reinforce,0.0,1,25,4.045660717756872,10,0.0019292831420898438,0.13640117645263672,,,1.9986597299575806,1.9986597299575806,,,1.039639949798584,1.039639949798584,
reinforce,0.0,1,26,4.795880093843763,10,0.00197601318359375,0.13849592208862305,,,4.317448616027832,4.317448616027832,,,1.6301829814910889,1.6301829814910889,
reinforce,0.0,1,27,5.147762073606185,10,0.0021240711212158203,0.14074015617370605,,,3.965904951095581,3.965904951095581,,,1.9632103443145752,1.9632103443145752,
reinforce,0.0,1,28,4.331242350637913,10,0.001905202865600586,0.142747163772583,,,2.4693362712860107,2.4693362712860107,,,1.474103331565857,1.474103331565857,
reinforce,0.0,1,29,5.17107411952673,10,0.0018222332000732422,0.14465713500976562,,,3.984285831451416,3.984285831451416,,,1.9474605321884155,1.9474605321884155,
reinforce,0.0,1,30,3.9391013130540675,10,0.0018877983093261719,0.14662694931030273,,,3.300300121307373,3.300300121307373,,,1.161704659461975,1.161704659461975,
reinforce,0.0,1,31,4.998359687246868,10,0.0022852420806884766,0.14899516105651855,,,3.9469692707061768,3.9469692707061768,,,1.889386534690857,1.889386534690857,
reinforce,0.0,1,32,4.416057519397904,10,0.00197601318359375,0.15105509757995605,,,2.304225444793701,2.304225444793701,,,1.4680439233779907,1.4680439233779907,
reinforce,0.0,1,33,4.390694901064457,10,0.001911163330078125,0.15305709838867188,,,2.0118589401245117,2.0118589401245117,,,1.4585082530975342,1.4585082530975342,
reinforce,0.0,1,34,5.021356803323157,10,0.002048969268798828,0.15519213676452637,,,4.854457855224609,4.854457855224609,,,1.8758071660995483,1.8758071660995483,
reinforce,0.0,1,35,4.599358789500334,10,0.001965045928955078,0.15726113319396973,,,3.819004774093628,3.819004774093628,,,1.4816737174987793,1.4816737174987793,
reinforce,0.0,1,36,4.963226697259282,10,0.001810312271118164,0.15915393829345703,,,3.717629909515381,3.717629909515381,,,1.7865850925445557,1.7865850925445557,
reinforce,0.0,1,37,4.613577129884508,10,0.0017559528350830078,0.16096901893615723,,,5.532232761383057,5.532232761383057,,,1.7299989461898804,1.7299989461898804,
reinforce,0.0,1,38,4.887059328402678,10,0.0019447803497314453,0.16305994987487793,,,4.672093868255615,4.672093868255615,,,1.8428847789764404,1.8428847789764404,
reinforce,0.0,1,39,4.695292118447668,10,0.0018582344055175781,0.16501307487487793,,,3.566281795501709,3.566281795501709,,,1.749577283859253,1.749577283859253,
