algo,ac_variant,n_steps,baseline,seed,episode,episode_return,episode_steps,episode_time_sec,elapsed_time_sec,eval_mean_return,eval_std_return,loss,policy_loss,value_loss,entropy,mean_return,mean_advantage,advantage
actor_critic,n_step,10,,2,1,7.37265178158169,13,0.053288936614990234,0.053292036056518555,,,12.20352554321289,5.201261520385742,10.003233909606934,2.156815528869629,2.5585641860961914,2.373385190963745,2.373385190963745
actor_critic,n_step,10,,2,2,14.299534368675655,33,0.007550954818725586,0.060984134674072266,,,17.38826560974121,6.808932304382324,15.113333702087402,2.156315565109253,2.9747607707977295,2.707441568374634,2.707441568374634
actor_critic,n_step,10,,2,3,28.062409078602755,53,0.012112140655517578,0.07328629493713379,,,30.852088928222656,9.686285018920898,30.23686408996582,2.15669846534729,4.625837326049805,4.274672508239746,4.274672508239746
actor_critic,n_step,10,,2,4,15.535887776160148,35,0.007973909378051758,0.08141899108886719,,,17.491260528564453,4.918910503387451,17.960500717163086,2.156742811203003,3.3598291873931885,2.857848644256592,2.857848644256592
actor_critic,n_step,10,,2,5,29.156600177120207,58,0.011802196502685547,0.09340214729309082,,,21.961273193359375,7.883123397827148,20.11164093017578,2.1564719676971436,4.526341915130615,3.9081759452819824,3.9081759452819824
actor_critic,n_step,10,,2,6,11.684636153339502,17,0.003995180130004883,0.09754228591918945,,,30.411746978759766,8.613471984863281,31.140392303466797,2.1560590267181396,4.622092247009277,3.726616859436035,3.726616859436035
actor_critic,n_step,10,,2,7,18.11160283188236,45,0.010043859481811523,0.1077120304107666,,,14.810518264770508,4.997682571411133,14.01833724975586,2.155994176864624,3.510430335998535,2.6094906330108643,2.6094906330108643
actor_critic,n_step,10,,2,8,33.63864727370841,47,0.009627819061279297,0.1175680160522461,,,40.76420211791992,12.537324905395508,40.32411193847656,2.1558122634887695,6.562379837036133,5.678093433380127,5.678093433380127
actor_critic,n_step,10,,2,9,36.887367652721906,68,0.013943195343017578,0.13166117668151855,,,25.88199234008789,9.071297645568848,24.015275955200195,2.1557185649871826,5.364102840423584,4.314479827880859,4.314479827880859
actor_critic,n_step,10,,2,10,32.144192214867125,40,0.008475780487060547,0.1403040885925293,,,47.63383865356445,12.257923126220703,50.537025451660156,2.155609130859375,7.345547676086426,6.241826057434082,6.241826057434082
actor_critic,n_step,10,,2,11,24.357933412710324,48,0.01041722297668457,0.15084624290466309,,,21.801902770996094,8.251276016235352,19.3580379486084,2.1554243564605713,4.790470123291016,3.617910623550415,3.617910623550415
actor_critic,n_step,10,,2,12,29.236640341017235,32,0.007302045822143555,0.15828418731689453,,,62.83484649658203,17.24734878540039,65.125,2.15535569190979,8.175188064575195,7.064653396606445,7.064653396606445
actor_critic,n_step,10,,2,13,50.51694836005985,80,0.01687312126159668,0.17533326148986816,,,35.35730743408203,10.982789039611816,34.82073974609375,2.155377149581909,6.740149021148682,5.2123565673828125,5.2123565673828125
actor_critic,n_step,10,,2,14,71.66831235117719,77,0.01556086540222168,0.19106721878051758,,,69.75772094726562,17.668643951416016,74.4129638671875,2.1553421020507812,9.401905059814453,8.051426887512207,8.051426887512207
actor_critic,n_step,10,,2,15,20.43846522140034,35,0.00731205940246582,0.1985611915588379,,,21.298234939575195,7.489729881286621,19.726436614990234,2.1553101539611816,5.329067707061768,3.7751986980438232,3.7751986980438232
actor_critic,n_step,10,,2,16,80.28852541159335,109,0.02220892906188965,0.22092413902282715,,,44.41596221923828,13.606307983398438,44.0137939453125,2.155219793319702,8.220696449279785,6.32470703125,6.32470703125
actor_critic,n_step,10,,2,17,29.593180384983672,28,0.0059719085693359375,0.22707724571228027,,,69.04307556152344,19.618501663208008,70.60653686523438,2.1551506519317627,9.432181358337402,7.8745903968811035,7.8745903968811035
actor_critic,n_step,10,,2,18,138.56049809293174,161,0.0318913459777832,0.2591433525085449,,,62.79053497314453,15.268244743347168,67.88898468017578,2.155170440673828,9.650052070617676,7.667404651641846,7.667404651641846
actor_critic,n_step,10,,2,19,35.4906317840451,38,0.007938623428344727,0.26728391647338867,,,63.677818298339844,15.903711318969727,68.24872589111328,2.1550629138946533,9.031625747680664,7.1429443359375,7.1429443359375
actor_critic,n_step,10,,2,20,64.96826718232685,79,0.01578497886657715,0.2832071781158447,174.05169426011034,2.780856775227254,53.40730285644531,14.31782054901123,55.84211730957031,2.154984474182129,9.028961181640625,6.860928058624268,6.860928058624268
actor_critic,n_step,10,,2,21,122.57562537088361,110,0.021693944931030273,0.37328624725341797,,,96.23908233642578,21.5226993560791,106.7376937866211,2.1548824310302734,11.883007049560547,9.887367248535156,9.887367248535156
actor_critic,n_step,10,,2,22,130.61210972797986,126,0.024963855743408203,0.3983891010284424,,,84.16146850585938,20.15167236328125,91.44256591796875,2.1548068523406982,11.348605155944824,9.180245399475098,9.180245399475098
actor_critic,n_step,10,,2,23,177.25177742257208,148,0.028997182846069336,0.4275681972503662,,,111.68404388427734,23.320755004882812,126.2332763671875,2.154741048812866,13.132769584655762,10.769031524658203,10.769031524658203
actor_critic,n_step,10,,2,24,17.66376044888618,20,0.004353046417236328,0.4320790767669678,,,37.26082229614258,10.737571716308594,37.890357971191406,2.1546943187713623,7.652230262756348,4.933188438415527,4.933188438415527
actor_critic,n_step,10,,2,25,57.12008848338456,56,0.011307716369628906,0.44355106353759766,,,76.84481048583984,19.1507511138916,82.42008972167969,2.1546761989593506,11.030577659606934,8.241486549377441,8.241486549377441
actor_critic,n_step,10,,2,26,156.22525492912757,163,0.03179430961608887,0.4755063056945801,,,73.35433959960938,16.684507369995117,80.9569091796875,2.1547698974609375,11.220877647399902,8.463284492492676,8.463284492492676
