method,mean_final_return,std_final_return,mean_eval_std,mean_training_time_sec,std_training_time_sec,n_runs
REINFORCE (baseline=0),20.775701265487356,26.114613085843626,2.4750557363500474,15.179613590240479,16.3001107377924,3
REINFORCE (baseline=20),175.19164950953487,21.62195462479278,3.726816257339049,29.18581501642863,4.337091169482371,3
REINFORCE (baseline=50),155.87068610155583,139.21833303170482,22.082721136962025,16.940510749816895,13.859931156904484,3
REINFORCE (baseline=100),31.76694658992015,26.543796886498676,2.288526514859672,4.714784542719523,2.7694596830839013,3
Actor-Critic one-step,48.17544935167507,11.068634020165561,2.2061826969962866,15.486247698465982,2.270979878986461,3
Actor-Critic n-step (n=10),574.7671433995288,446.61039625289067,1.553518638025725,43.06399607658386,18.172159750000475,3
