algo,ac_variant,n_steps,baseline,seed,episode,episode_return,episode_steps,episode_time_sec,elapsed_time_sec,eval_mean_return,eval_std_return,loss,policy_loss,value_loss,entropy,mean_return,mean_advantage,advantage
reinforce,,,100.0,0,1,62.30948772976065,38,0.018175125122070312,0.018177032470703125,,,-157.3172607421875,-157.3172607421875,,,31.979774475097656,-68.02022552490234,
reinforce,,,100.0,0,2,69.93519578012227,43,0.007370948791503906,0.025671720504760742,,,-185.21949768066406,-185.21949768066406,,,32.997093200683594,-67.0029067993164,
reinforce,,,100.0,0,3,6.490700260824794,11,0.0025191307067871094,0.028308868408203125,,,-228.55299377441406,-228.55299377441406,,,2.3961238861083984,-97.6038818359375,
reinforce,,,100.0,0,4,6.5534964013570285,9,0.00185394287109375,0.030299901962280273,,,-164.07652282714844,-164.07652282714844,,,3.019347667694092,-96.98065185546875,
reinforce,,,100.0,0,5,65.28005139109374,44,0.0070858001708984375,0.03746986389160156,,,-138.31761169433594,-138.31761169433594,,,28.441974639892578,-71.55802917480469,
reinforce,,,100.0,0,6,60.138186563986835,38,0.006574869155883789,0.044133901596069336,,,-172.0237274169922,-172.0237274169922,,,28.32305335998535,-71.67694854736328,
reinforce,,,100.0,0,7,58.374841702961156,35,0.005647897720336914,0.04990577697753906,,,-132.71578979492188,-132.71578979492188,,,30.390249252319336,-69.60974884033203,
reinforce,,,100.0,0,8,46.0690443824571,27,0.00461888313293457,0.05459284782409668,,,-166.2312469482422,-166.2312469482422,,,24.718761444091797,-75.28124237060547,
reinforce,,,100.0,0,9,70.32673966262944,43,0.0070798397064208984,0.0617828369140625,,,-134.9041290283203,-134.9041290283203,,,33.50551223754883,-66.4944839477539,
reinforce,,,100.0,0,10,58.45906348568837,34,0.005711793899536133,0.06758284568786621,,,-139.56646728515625,-139.56646728515625,,,30.316980361938477,-69.68302154541016,
reinforce,,,100.0,0,11,70.1924193176849,42,0.006829023361206055,0.0745089054107666,,,-138.83648681640625,-138.83648681640625,,,34.55198669433594,-65.44801330566406,
reinforce,,,100.0,0,12,6.889531824690551,9,0.0016379356384277344,0.07625293731689453,,,-332.0375671386719,-332.0375671386719,,,3.32220721244812,-96.67778778076172,
reinforce,,,100.0,0,13,51.2154468905795,32,0.005238056182861328,0.0815420150756836,,,-158.81527709960938,-158.81527709960938,,,25.10564422607422,-74.89435577392578,
reinforce,,,100.0,0,14,79.83416522009625,46,0.007525920867919922,0.08915185928344727,,,-119.96025848388672,-119.96025848388672,,,37.70563507080078,-62.29436111450195,
reinforce,,,100.0,0,15,64.2789330297952,40,0.006676912307739258,0.09591889381408691,,,-133.26602172851562,-133.26602172851562,,,31.3886775970459,-68.61132049560547,
reinforce,,,100.0,0,16,128.18235495079804,76,0.012671947479248047,0.10870790481567383,,,-100.94163513183594,-100.94163513183594,,,56.017642974853516,-43.98236083984375,
reinforce,,,100.0,0,17,57.17804013523191,37,0.0058481693267822266,0.11468315124511719,,,-144.92897033691406,-144.92897033691406,,,29.035531997680664,-70.96446990966797,
reinforce,,,100.0,0,18,48.677224061738734,33,0.005234956741333008,0.12000679969787598,,,-179.61724853515625,-179.61724853515625,,,24.282915115356445,-75.71708679199219,
reinforce,,,100.0,0,19,46.9879097559739,32,0.00517582893371582,0.1252458095550537,,,-156.45269775390625,-156.45269775390625,,,23.69992446899414,-76.30007934570312,
reinforce,,,100.0,0,20,45.02221922882989,31,0.004952907562255859,0.13027095794677734,39.96237914445904,1.0363387177601167,-155.138671875,-155.138671875,,,23.008895874023438,-76.9911117553711,
reinforce,,,100.0,0,21,42.79513572574125,32,0.005405902862548828,0.15045976638793945,,,-169.22036743164062,-169.22036743164062,,,21.81635093688965,-78.18364715576172,
