algo,baseline,seed,episode,episode_return,episode_steps,episode_time_sec,elapsed_time_sec,eval_mean_return,eval_std_return,loss,policy_loss,value_loss,entropy,mean_return,mean_advantage,advantage
reinforce,20.0,1,1,48.77487904113931,45,0.02066493034362793,0.02066802978515625,,,2.8050570487976074,2.8050570487976074,,,22.113414764404297,2.113417148590088,
reinforce,20.0,1,2,60.57916396528158,39,0.00704193115234375,0.027848005294799805,,,21.296689987182617,21.296689987182617,,,31.811649322509766,11.811650276184082,
reinforce,20.0,1,3,25.823889481047246,35,0.006248950958251953,0.034230947494506836,,,-24.7486515045166,-24.7486515045166,,,8.745488166809082,-11.254512786865234,
reinforce,20.0,1,4,105.87394630469302,82,0.01415395736694336,0.04857897758483887,,,50.634300231933594,50.634300231933594,,,43.5447883605957,23.544788360595703,
reinforce,20.0,1,5,32.00784430353111,47,0.00848698616027832,0.05722498893737793,,,-17.905344009399414,-17.905344009399414,,,12.685589790344238,-7.314410209655762,
reinforce,20.0,1,6,87.10627511301823,55,0.009664058685302734,0.06702589988708496,,,44.62416076660156,44.62416076660156,,,41.461734771728516,21.46173667907715,
reinforce,20.0,1,7,66.42134484909438,67,0.01197195053100586,0.07916593551635742,,,15.003135681152344,15.003135681152344,,,26.418302536010742,6.4183030128479,
reinforce,20.0,1,8,89.82089373597877,60,0.010399818420410156,0.08974194526672363,,,54.01363754272461,54.01363754272461,,,42.32154846191406,22.32154655456543,
reinforce,20.0,1,9,106.81542787398256,83,0.014899015426635742,0.10478901863098145,,,48.743980407714844,48.743980407714844,,,44.0404052734375,24.040403366088867,
reinforce,20.0,1,10,116.32555653134942,83,0.014235258102416992,0.11919522285461426,,,63.76374816894531,63.76374816894531,,,48.77809524536133,28.77809715270996,
reinforce,20.0,1,11,107.80583619812799,76,0.013340950012207031,0.1326909065246582,,,52.18522644042969,52.18522644042969,,,43.96102523803711,23.961021423339844,
reinforce,20.0,1,12,94.8404334982593,64,0.011001110076904297,0.14384007453918457,,,49.53172302246094,49.53172302246094,,,42.03029251098633,22.030292510986328,
reinforce,20.0,1,13,268.2647340267378,159,0.02723097801208496,0.17124605178833008,,,167.07867431640625,167.07867431640625,,,95.02735137939453,75.02735137939453,
reinforce,20.0,1,14,189.99403706206704,155,0.02601027488708496,0.1974341869354248,,,99.78411865234375,99.78411865234375,,,65.53263854980469,45.53263854980469,
reinforce,20.0,1,15,112.11885967924871,112,0.019018888473510742,0.21661996841430664,,,41.45012664794922,41.45012664794922,,,38.4942741394043,18.494277954101562,
reinforce,20.0,1,16,129.45703804199738,103,0.017055034637451172,0.2338399887084961,,,55.705787658691406,55.705787658691406,,,49.249202728271484,29.249202728271484,
reinforce,20.0,1,17,161.58004981804316,121,0.02082681655883789,0.25481700897216797,,,78.86992645263672,78.86992645263672,,,57.6322135925293,37.6322135925293,
reinforce,20.0,1,18,256.98560330577124,121,0.020377635955810547,0.2753598690032959,,,177.1168212890625,177.1168212890625,,,98.30595397949219,78.30595397949219,
reinforce,20.0,1,19,37.09565955802694,33,0.005876064300537109,0.2813911437988281,,,-4.499236106872559,-4.499236106872559,,,18.59189224243164,-1.408107042312622,
reinforce,20.0,1,20,58.41341313132968,53,0.008962154388427734,0.2904810905456543,122.86332952962348,5.079233488910087,11.307151794433594,11.307151794433594,,,27.09514617919922,7.095146179199219,
reinforce,20.0,1,21,272.1458792480986,123,0.02023601531982422,0.3491630554199219,,,188.84463500976562,188.84463500976562,,,106.6474838256836,86.6474838256836,
reinforce,20.0,1,22,141.54023430076427,92,0.015633344650268555,0.36496615409851074,,,78.5444107055664,78.5444107055664,,,56.62343978881836,36.62343978881836,
reinforce,20.0,1,23,301.10762498186415,155,0.025794267654418945,0.3909151554107666,,,177.36968994140625,177.36968994140625,,,106.21233367919922,86.21234130859375,
reinforce,20.0,1,24,266.1039167507403,122,0.02017998695373535,0.4112660884857178,,,169.94505310058594,169.94505310058594,,,103.92623138427734,83.92623138427734,
reinforce,20.0,1,25,93.96147664784935,66,0.011023998260498047,0.4224879741668701,,,50.11111831665039,50.11111831665039,,,40.18061828613281,20.180620193481445,
reinforce,20.0,1,26,267.76200874500944,120,0.02038097381591797,0.4430258274078369,,,183.50303649902344,183.50303649902344,,,104.60050201416016,84.60050201416016,
reinforce,20.0,1,27,248.26806240692562,110,0.018136024475097656,0.4614241123199463,,,164.82252502441406,164.82252502441406,,,101.46208953857422,81.46208953857422,
reinforce,20.0,1,28,107.48530390619011,60,0.010326147079467773,0.47193288803100586,,,60.73291778564453,60.73291778564453,,,50.75980758666992,30.75980567932129,
reinforce,20.0,1,29,247.94339289132532,116,0.019489049911499023,0.49158406257629395,,,173.3810577392578,173.3810577392578,,,99.00619506835938,79.00619506835938,
reinforce,20.0,1,30,229.98571973999822,104,0.017180204391479492,0.5089759826660156,,,158.4427032470703,158.4427032470703,,,96.08037567138672,76.08037567138672,
reinforce,20.0,1,31,179.2088893871665,109,0.017798900604248047,0.5269429683685303,,,96.82298278808594,96.82298278808594,,,69.86699676513672,49.867000579833984,
reinforce,20.0,1,32,311.8930788126615,154,0.0249788761138916,0.5520880222320557,,,215.70779418945312,215.70779418945312,,,116.53961944580078,96.53962707519531,
reinforce,20.0,1,33,87.5937370908811,51,0.008684873580932617,0.5609478950500488,,,38.48345947265625,38.48345947265625,,,42.174217224121094,22.174219131469727,
reinforce,20.0,1,34,92.27407494492424,52,0.00888514518737793,0.5700011253356934,,,56.254188537597656,56.254188537597656,,,45.759029388427734,25.759029388427734,
reinforce,20.0,1,35,101.11950214777704,55,0.00934910774230957,0.5795059204101562,,,63.0764045715332,63.0764045715332,,,50.04621887207031,30.046215057373047,
reinforce,20.0,1,36,77.98323097690142,46,0.007925033569335938,0.5875871181488037,,,40.328956604003906,40.328956604003906,,,40.353458404541016,20.35346031188965,
reinforce,20.0,1,37,85.13339235691319,49,0.008472204208374023,0.5962281227111816,,,46.825889587402344,46.825889587402344,,,42.30530548095703,22.305307388305664,
reinforce,20.0,1,38,81.04193605407478,47,0.008211135864257812,0.6046140193939209,,,45.726749420166016,45.726749420166016,,,40.98617172241211,20.986169815063477,
